variable,dataType,description,detail,allowedSuffix,measureUnit,allowedValues,valueInfo,provenance,expectedFileExt
id,id,Participant ID,"The participant ID is specific to this study, and is auto-assigned by REDCap.",NA,Integer,"[3000000,3009999],[3080000,3089999],[3090000,3099999]",One ID per participant (eligible and ineligible),"file: ""thriveconsent""; variable: ""record_id""",NA
consent,consent,Participant consent status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""consent_complete"" or ""consentes_complete"" == ""2""(indicating participant consented), otherwise 0.",NA,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""thriveconsent""; variable: """"",NA
assent,assent,Participant assent status,"When data is transferred from raw to checked, value of 1 is assigned based on the value of ""assent_complete""==""2"" (indicating participant assented), otherwise 0.",NA,Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","file: ""thriveconsent""; variable: """"",NA
arrow-alert-v1-1_psychopy,psychopy,arrow-alert-v1-1_psychopy task status,"When data is transferred from raw to checked, value of 1 is assigned if ""arrow-alert-v1-1"" file exists, otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-psychopy,".psydat, .csv, .log"
arrow-alert-v1-2_psychopy,psychopy,arrow-alert-v1-2_psychopy task status,"When data is transferred from raw to checked, value of 1 is assigned if ""arrow-alert-v1-2"" file exists, otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-psychopy,".psydat, .csv, .log"
arrow-alert_psychopy,combination,arrow-alert_psychopy task status,"When updatetracker is run, value of 1 is assigned if either of the variables specificed for a given allowedSuffix = 1, otherwise a value of 0 is assigned.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists","variables: ""arrow-alert-v1-1_psychopy"",""arrow-alert-v1-2_psychopy""",NA
all_audacity,audacity,Audacity data status,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-audacity,.zip.gpg
all_zoom,zoom,Zoom data status,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-zoom,.zip.gpg
all_eeg,eeg,Brain Vision EEG data status,"When data is transferred from raw to checked, value of 1 is assigned if data exists, otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-eeg,".eeg, .vmrk, .vhdr"
all_digi,digi,Digi data status,"When hallMonitor is run, value of 1 is assigned if data already exists in checked, otherwise 0.","s1_r1_e1, s2_r1_e1, s3_r1_e1",Logical,"NA, 0, 1","NA, status unknown | 0, no data exists | 1, data exists",direct-digi,.zip.gpg
iqs_status,visit_status,Status of participant's IQS visit (attended vs not attended),,"s1_r1_e1, s2_r1_e1, s3_r1_e2",Logical,"NA, 0, 2","NA, status unknown | 0, participant has not attended IQS | 1, participant has attended IQS","file: ""iqsclinician""; variable: ""iqsclchecklist""",NA
bbs_status,visit_status,Status of participant's BBS visit (attended vs not attended),,"s1_r1_e1, s2_r1_e1, s3_r1_e3",Logical,"NA, 0, 3","NA, status unknown | 0, participant has not attended BBS | 1, participant has attended BBS","file: ""bbsra""; variable: ""bbsrafamarrival""; id: ""bbsratrk_acid""",NA
